Date,Green Energy Policy Uncertainty
2000/1/31,66.1290323
2000/2/29,58.9285714
2000/3/31,58.0645161
2000/4/30,56.6666667
2000/5/31,51.6129032
2000/6/30,74.137931
2000/7/31,59.6774194
2000/8/31,70.9677419
2000/9/30,71.6666667
2000/10/31,62.9032258
2000/11/30,75
2000/12/31,67.7419355
2001/1/31,59.6491228
2001/2/28,65.4545455
2001/3/31,69.3548387
2001/4/30,63.3333333
2001/5/31,50
2001/6/30,54.2372881
2001/7/31,48.2758621
2001/8/31,58.0645161
2001/9/30,48.2758621
2001/10/31,66.1016949
2001/11/30,50.8474576
2001/12/31,50
2002/1/31,62.9032258
2002/2/28,39.2156863
2002/3/31,66.6666667
2002/4/30,66.1016949
2002/5/31,55.9322034
2002/6/30,57.6271186
2002/7/31,68.3333333
2002/8/31,55.7377049
2002/9/30,71.1864407
2002/10/31,46.5517241
2002/11/30,63.7931034
2002/12/31,72.1311475
2003/1/31,77.5862069
2003/2/28,54
2003/3/31,67.2131148
2003/4/30,70
2003/5/31,56.6666667
2003/6/30,60
2003/7/31,73.7704918
2003/8/31,65.5737705
2003/9/30,59.6491228
2003/10/31,69.6428571
2003/11/30,73.3333333
2003/12/31,58.0645161
2004/1/31,54.3859649
2004/2/29,71.4285714
2004/3/31,73.7704918
2004/4/30,76.6666667
2004/5/31,74.5762712
2004/6/30,83.3333333
2004/7/31,82.2580645
2004/8/31,75.8064516
2004/9/30,71.9298246
2004/10/31,71.1864407
2004/11/30,81.3559322
2004/12/31,83.8709677
2005/1/31,74.1935484
2005/2/28,61.5384615
2005/3/31,80.6451613
2005/4/30,74.5762712
2005/5/31,62.295082
2005/6/30,78.3333333
2005/7/31,77.4193548
2005/8/31,74.1935484
2005/9/30,85
2005/10/31,70
2005/11/30,73.3333333
2005/12/31,79.0322581
2006/1/31,73.7704918
2006/2/28,81.4814815
2006/3/31,74.1935484
2006/4/30,85
2006/5/31,79.6610169
2006/6/30,85
2006/7/31,83.6065574
2006/8/31,91.9354839
2006/9/30,76.6666667
2006/10/31,72.8813559
2006/11/30,81.6666667
2006/12/31,90.3225806
2007/1/31,81.9672131
2007/2/28,64.1509434
2007/3/31,81.9672131
2007/4/30,81.6666667
2007/5/31,69.3548387
2007/6/30,76.6666667
2007/7/31,93.5483871
2007/8/31,78.6885246
2007/9/30,85
2007/10/31,66.1290323
2007/11/30,84.2105263
2007/12/31,91.0714286
2008/1/31,91.5254237
2008/2/29,71.9298246
2008/3/31,88.7096774
2008/4/30,85
2008/5/31,73.7704918
2008/6/30,86.440678
2008/7/31,89.7959184
2008/8/31,87.037037
2008/9/30,88.1355932
2008/10/31,90
2008/11/30,91.6666667
2008/12/31,96.7741935
2009/1/31,74.1935484
2009/2/28,89.2857143
2009/3/31,93.5483871
2009/4/30,90
2009/5/31,88.7096774
2009/6/30,94.9152542
2009/7/31,90.3225806
2009/8/31,90.3225806
2009/9/30,90
2009/10/31,79.0322581
2009/11/30,86.6666667
2009/12/31,93.5483871
2010/1/31,80.3278689
2010/2/28,77.0833333
2010/3/31,91.9354839
2010/4/30,93.3333333
2010/5/31,85.2459016
2010/6/30,91.5254237
2010/7/31,91.9354839
2010/8/31,87.7192982
2010/9/30,84.4827586
2010/10/31,80.6451613
2010/11/30,91.6666667
2010/12/31,90.3225806
2011/1/31,90.3225806
2011/2/28,78.5714286
2011/3/31,96.7741935
2011/4/30,91.6666667
2011/5/31,88.7096774
2011/6/30,86.440678
2011/7/31,93.5483871
2011/8/31,95.1612903
2011/9/30,96.6666667
2011/10/31,90.3225806
2011/11/30,96.6666667
2011/12/31,96.7741935
2012/1/31,79.0322581
2012/2/29,94.8275862
2012/3/31,91.9354839
2012/4/30,91.6666667
2012/5/31,96.7741935
2012/6/30,93.3333333
2012/7/31,96.7741935
2012/8/31,95.1612903
2012/9/30,95
2012/10/31,82.2580645
2012/11/30,85
2012/12/31,87.0967742
2013/1/31,93.5483871
2013/2/28,78.5714286
2013/3/31,90.3225806
2013/4/30,90
2013/5/31,90.3225806
2013/6/30,95
2013/7/31,96.7741935
2013/8/31,96.7741935
2013/9/30,90
2013/10/31,88.7096774
2013/11/30,90
2013/12/31,100
2014/1/31,95.1612903
2014/2/28,80.3571429
2014/3/31,93.5483871
2014/4/30,93.3333333
2014/5/31,91.9354839
2014/6/30,93.3333333
2014/7/31,96.7741935
2014/8/31,90.3225806
2014/9/30,81.6666667
2014/10/31,87.0967742
2014/11/30,93.3333333
2014/12/31,98.3870968
2015/1/31,91.8032787
2015/2/28,71.4285714
2015/3/31,88.7096774
2015/4/30,95
2015/5/31,91.9354839
2015/6/30,91.6666667
2015/7/31,95.1612903
2015/8/31,93.5483871
2015/9/30,88.3333333
2015/10/31,90.3225806
2015/11/30,100
2015/12/31,93.5483871
2016/1/31,96.7741935
2016/2/29,81.0344828
2016/3/31,96.7741935
2016/4/30,93.3333333
2016/5/31,93.5483871
2016/6/30,90
2016/7/31,96.7741935
2016/8/31,91.9354839
2016/9/30,95
2016/10/31,88.7096774
2016/11/30,96.6666667
2016/12/31,95.1612903
2017/1/31,82.2580645
2017/2/28,85.4545455
2017/3/31,91.9354839
2017/4/30,88.3333333
2017/5/31,93.5483871
2017/6/30,98.3333333
2017/7/31,88.7096774
2017/8/31,87.0967742
2017/9/30,91.6666667
2017/10/31,69.3548387
2017/11/30,91.6666667
2017/12/31,91.9354839
2018/1/31,90.3225806
2018/2/28,75
2018/3/31,83.8709677
2018/4/30,85
2018/5/31,93.5483871
2018/6/30,91.6666667
2018/7/31,96.7741935
2018/8/31,93.5483871
2018/9/30,93.3333333
2018/10/31,79.0322581
2018/11/30,93.3333333
2018/12/31,90.3225806
2019/1/31,87.0967742
2019/2/28,75
2019/3/31,88.7096774
2019/4/30,93.3333333
2019/5/31,88.7096774
2019/6/30,95
2019/7/31,91.9354839
2019/8/31,95.1612903
2019/9/30,85
2019/10/31,80.6451613
2019/11/30,93.3333333
2019/12/31,88.7096774
2020/1/31,74.1935484
2020/2/29,68.9655172
2020/3/31,82.2580645
2020/4/30,88.3333333
2020/5/31,82.2580645
2020/6/30,91.6666667
2020/7/31,91.9354839
2020/8/31,93.5483871
2020/9/30,95
2020/10/31,87.0967742
2020/11/30,98.3333333
2020/12/31,93.5483871
2021/1/31,95.1612903
2021/2/28,82.1428571
2021/3/31,95.1612903
2021/4/30,90
2021/5/31,83.8709677
2021/6/30,83.3333333
2021/7/31,85.483871
2021/8/31,95.1612903
2021/9/30,95
2021/10/31,82.2580645
2021/11/30,93.3333333
2021/12/31,100
2022/1/31,95.1612903
2022/2/28,82.1428571
2022/3/31,95.1612903
2022/4/30,95
2022/5/31,93.5483871
2022/6/30,98.3333333
2022/7/31,95.1612903
2022/8/31,98.3870968
2022/9/30,91.6666667
2022/10/31,87.0967742
2022/11/30,93.3333333
2022/12/31,100
2023/1/31,83.8709677
2023/2/28,96.3636364
2023/3/31,98.3870968
2023/4/30,98.3333333
2023/5/31,91.9354839
2023/6/30,86.6666667
2023/7/31,95.1612903
2023/8/31,95.0819672
2023/9/30,83.3333333
2023/10/31,74.1935484
2023/11/30,90
2023/12/31,94.4444444
